Date,Open
1/1/2012,35.176666
1/8/2012,36.139999
1/15/2012,37.900002
1/22/2012,37.860001
1/29/2012,38.536667
2/5/2012,40.113335
2/12/2012,40.086666
2/19/2012,39.716667
2/26/2012,39.733334
3/4/2012,39.953335
3/11/2012,39.913334
3/18/2012,40.186668
3/25/2012,40.786667
4/1/2012,41.206665
4/8/2012,40.656666
4/15/2012,39.459999
4/22/2012,40.48
4/29/2012,42.216667
5/6/2012,40.713333
5/13/2012,41.976665
5/20/2012,40.25
5/27/2012,41.666668
6/3/2012,39.823334
6/10/2012,41.626667
6/17/2012,41.566666
6/24/2012,42.52
7/1/2012,43.470001
7/8/2012,44.119999
7/15/2012,44.080002
7/22/2012,43.826668
7/29/2012,45.863335
8/5/2012,44.383335
8/12/2012,44.110001
8/19/2012,44.336666
8/26/2012,45.463333
9/2/2012,45.580002
9/9/2012,46.936668
9/16/2012,47.213333
9/23/2012,47.953335
9/30/2012,47.733334
10/7/2012,49.060001
10/14/2012,47.333332
10/21/2012,46.483334
10/28/2012,44.900002
11/4/2012,43.733334
11/11/2012,44
11/18/2012,44.459999
11/25/2012,46.046665
12/2/2012,46.743332
12/9/2012,45.650002
12/16/2012,46.07
12/23/2012,45.826668
12/30/2012,44.970001
1/6/2013,47.273335
1/13/2013,48.490002
1/20/2013,48.470001
1/27/2013,48.93
2/3/2013,49.110001
2/10/2013,49.043335
2/17/2013,48.553333
2/24/2013,48.706665
3/3/2013,49.73
3/10/2013,51.990002
3/17/2013,51.34
3/24/2013,52.233334
3/31/2013,53.503334
4/7/2013,53.403332
4/14/2013,56.336666
4/21/2013,57.993332
4/28/2013,58
5/5/2013,59.153332
5/12/2013,60.006668
5/19/2013,60.776669
5/26/2013,61.16
6/2/2013,59.853333
6/9/2013,60.099998
6/16/2013,58.966667
6/23/2013,55.473331
6/30/2013,59.376667
7/7/2013,61.266666
7/14/2013,64.849998
7/21/2013,65.253334
7/28/2013,65.419998
8/4/2013,67
8/11/2013,64.823334
8/18/2013,62.386665
8/25/2013,64.793335
9/1/2013,65.82
9/8/2013,67.553337
9/15/2013,70.43
9/22/2013,69.833336
9/29/2013,69.433334
10/6/2013,70.419998
10/13/2013,66.553337
10/20/2013,69.07
10/27/2013,70.809998
11/3/2013,69.263336
11/10/2013,68.403336
11/17/2013,70.769997
11/24/2013,74.166664
12/1/2013,74.510002
12/8/2013,74.029999
12/15/2013,71.830002
12/22/2013,75.41333
12/29/2013,75.426666
1/5/2014,75.333336
1/12/2014,80.296669
1/19/2014,83.91333
1/26/2014,81.223335
2/2/2014,82.333336
2/9/2014,82.703331
2/16/2014,86.779999
2/23/2014,90.323334
3/2/2014,86.353333
3/9/2014,86.466667
3/16/2014,85.566666
3/23/2014,82.453331
3/30/2014,77.026665
4/6/2014,74.943336
4/13/2014,72.806664
4/20/2014,74.603333
4/27/2014,75.239998
5/4/2014,75.349998
5/11/2014,75.946663
5/18/2014,75.5
5/25/2014,78.900002
6/1/2014,80.003334
6/8/2014,82.183334
6/15/2014,82.476669
6/22/2014,85.226669
6/29/2014,85.639999
7/6/2014,88.456665
7/13/2014,86.436668
7/20/2014,82.980003
7/27/2014,84.43
8/3/2014,83.846664
8/10/2014,84.366669
8/17/2014,88.526665
8/24/2014,89.58667
8/31/2014,92.673332
9/7/2014,89.866669
9/14/2014,89.373337
9/21/2014,91.736664
9/28/2014,90.943336
10/5/2014,92.099998
10/12/2014,87.666664
10/19/2014,88.333336
10/26/2014,96.230003
11/2/2014,99.080002
11/9/2014,97.386665
11/16/2014,96.029999
11/23/2014,98.410004
11/30/2014,100.883331
12/7/2014,103.099998
12/14/2014,102.653336
12/21/2014,103.5
12/28/2014,102.353333
1/4/2015,101.333336
1/11/2015,105.18
1/18/2015,106.760002
1/25/2015,107.709999
2/1/2015,107.883331
2/8/2015,104.730003
2/15/2015,107.730003
2/22/2015,112.606667
3/1/2015,112.410004
3/8/2015,114.169998
3/15/2015,115.919998
3/22/2015,120.533333
3/29/2015,117.556664
4/5/2015,112.34333
4/12/2015,119.23333
4/19/2015,119.540001
4/26/2015,121.546669
5/3/2015,114.90667
5/10/2015,117.996666
5/17/2015,117.986664
5/24/2015,120.83667
5/31/2015,122.333336
6/7/2015,122.373337
6/14/2015,120.300003
6/21/2015,126.893333
6/28/2015,122.66333
7/5/2015,122.553337
7/12/2015,125.400002
7/19/2015,133.089996
7/26/2015,124.816666
8/2/2015,127.800003
8/9/2015,124.133331
8/16/2015,120.503334
8/23/2015,104.096664
8/30/2015,117.339996
9/6/2015,114.73333
9/13/2015,118.213333
9/20/2015,119.813332
9/27/2015,102.176666
10/4/2015,106.166664
10/11/2015,103.809998
10/18/2015,104.34333
10/25/2015,105
11/1/2015,108.940002
11/8/2015,109.33667
11/15/2015,107.166664
11/22/2015,111.103333
11/29/2015,113.943336
12/6/2015,110.169998
12/13/2015,106.946663
12/20/2015,110.553337
12/27/2015,112.583336
1/3/2016,110.383331
1/10/2016,101.550003
1/17/2016,95.889999
1/24/2016,95.676666
1/31/2016,88.276665
2/7/2016,83.583336
2/14/2016,85.113335
2/21/2016,88.650002
2/28/2016,87.110001
3/6/2016,87.23333
3/13/2016,87.256668
3/20/2016,83.529999
3/27/2016,85.66333
4/3/2016,89.823334
4/10/2016,92.963333
4/17/2016,93.273331
4/24/2016,95.833336
5/1/2016,89.563332
5/8/2016,85.400002
5/15/2016,85.466667
5/22/2016,88.166664
5/29/2016,92.800003
6/5/2016,94.040001
6/12/2016,88.510002
6/19/2016,86.440002
6/26/2016,82.209999
7/3/2016,87.333336
7/10/2016,90.5
7/17/2016,90.669998
7/24/2016,93.473335
7/31/2016,96.623337
8/7/2016,99.313332
8/14/2016,97.98333
8/21/2016,97.283333
8/28/2016,95.333336
9/4/2016,93.686668
9/11/2016,92.333336
9/18/2016,97.666664
9/25/2016,98.726669
10/2/2016,96.503334
10/9/2016,95.673332
10/16/2016,88.526665
10/23/2016,89.173332
10/30/2016,86.986664
11/6/2016,85.493332
11/13/2016,96.133331
11/20/2016,95.323334
11/27/2016,94.800003
12/4/2016,91.246666
12/11/2016,89.116669
12/18/2016,90.666664
12/25/2016,90.866669
